a,"Agricultura, ganadería, silvicultura y pesca"
b,Industrias extractivas
c,Industria manufacturera
d,"Suministro de energía eléctrica, gas, etc."
e,Suministro de agua. Gestión residuos
f,Construcción
g,"Comercio, reparación de vehículos de motor"
h,Transporte y almacenamiento
i,Hostelería
j,Información y comunicaciones
k,Actividades financieras y de seguros
l,Actividades inmobiliarias
m,"Actividades profesionales, científicas y técnicas"
n,Actividades administrativas y servicios auxiliares
o,Administración pública y defensa. Seguridad Social
p,Educación
q,Actividades sanitarias y de servicios sociales
r,"Actividades artísticas, recreativas"
s,Otros servicios
t,Hogares como empleadores de personal doméstico
u,"Organismos extraterritoriales, no consta"
